DTXSID,true_chemname
DTXSID3032410,"Hexadeca-7,11-dien-1-yl acetate (Z,E)-"
DTXSID9035751,"7,11-Hexadecadien-1-ol, acetate, (Z,Z)-"
DTXSID4024985,"1,3-Dichloro-5,5-dimethylhydantoin"
DTXSID4035839,"1,3-Dichloro-5-ethyl-5-methylhydantoin"
DTXSID1022057,"1,3-Dichloropropene"
DTXSID3032591,"1-Bromo-3-chloro-5,5-dimethylhydantoin"
DTXSID3020914,1-Naphthaleneacetamide
DTXSID0032528,"2,2'-(1-Methyltrimethylenedioxy)bis(4-methyl-1,3,2-dioxaborinane)"
DTXSID2034207,"2,2'-Oxybis(4,4,6-trimethyl-1,3,2-dioxaborinane)"
DTXSID5032361,"2,2-Dibromo-3-nitrilopropionamide"
DTXSID0020442,"2,4-Dichlorophenoxyacetic acid"
DTXSID1032309,"2,4-D-Butotyl"
DTXSID0024896,"2,4-D dimethylamine salt"
DTXSID2034679,"2,4-D 2-ethyl-4-methylpentyl ester"
DTXSID5020445,"2,4-D isopropyl ester"
DTXSID90274192,Dichlorprop-P-2-ethylhexyl
DTXSID2034546,"Dimethylamine 2-(2,4-dichlorophenoxy)propionate"
DTXSID2034259,2-Methyl-3(2H)-isothiazolone
DTXSID0028038,3-Iodo-2-propynyl-N-butylcarbamate
DTXSID5032498,Triclosan
DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone
DTXSID8023846,Acephate
DTXSID8035180,Allethrin
DTXSID1023867,Aluminum phosphide
DTXSID0037497,Azadirachtin
DTXSID6044147,Bacillus thuringiensis
DTXSID9032327,Bendiocarb
DTXSID3023899,Benfluralin
DTXSID9032329,Bensulide
DTXSID5020152,Benzyl alcohol
DTXSID3041320,"2,3,4,5-Bisbutylene tetrafurfural"
DTXSID2034384,Borax (B4Na2O7.10H2O)
DTXSID1020194,Boric acid (H3BO3)
DTXSID5032529,Brodifacoum
DTXSID4022020,Bromacil
DTXSID9032589,Bromadiolone
DTXSID8032590,Bromethalin
DTXSID3034404,Butoxypolypropylene glycol
DTXSID7020508,Dimethylarsinic acid
DTXSID1029700,Calcium hypochlorite
DTXSID90897325,Capsicum oleoresin
DTXSID9020243,Captan
DTXSID9020247,Carbaryl
DTXSID1020273,Chlorine
DTXSID5023958,Chlorine dioxide
DTXSID2032348,Chlorophacinone
DTXSID0020315,Chloropicrin
DTXSID0020319,Chlorothalonil
DTXSID4020458,Chlorpyrifos
DTXSID0024000,Chlorthal-dimethyl
DTXSID6026294,Vitamin D3
DTXSID3020332,Citric acid
DTXSID2023985,Copper
DTXSID7020346,Copper-8-hydroxyquinoline (1:2)
DTXSID2035693,Copper ethanolamine complex
DTXSID6034473,Copper dihydroxide
DTXSID1027392,Copper napthenate
DTXSID0034489,Cuprous oxide
DTXSID1034476,Copper oxychloride sulfate
DTXSID4034944,Basic copper sulfate
DTXSID9031066,"Copper(II) sulfate, pentahydrate"
DTXSID0034483,Cupric triethanolamine
DTXSID5098212,Cottonseed meal
DTXSID0024848,Cottonseed oil
DTXSID0034487,Cryolite
DTXSID6021248,Rotenone
DTXSID7024873,Cyanuric acid
DTXSID5035957,Cyfluthrin
DTXSID1023998,Cypermethrin
DTXSID2039336,S-Bioallethrin
DTXSID7024902,Dazomet
DTXSID5020449,Dichlorvos
DTXSID2021995,DEET
DTXSID0051285,Diatomite
DTXSID9020407,Diazinon
DTXSID4024018,Dicamba
DTXSID9034369,Dicamba-dimethylammonium
DTXSID5032365,Dichlobenil
DTXSID8024993,Troclosene
DTXSID2020426,Dicloran
DTXSID4020450,Dicofol
DTXSID9032537,Didecyldimethylammonium chloride
DTXSID7020479,Dimethoate
DTXSID6035491,Dioctyldimethylammonium chloride
DTXSID7041881,Dioctyl sodium sulfosuccinate
DTXSID4032378,Diphacinone
DTXSID8032544,"Dipropyl 2,5-pyridinedicarboxylate"
DTXSID3024075,Diquat dibromide
DTXSID6034423,Disodium cyanodithioimidocarbonate
DTXSID1034391,Disodium octaborate tetrahydrate
DTXSID0022018,Disulfoton
DTXSID0020446,Diuron
DTXSID0035954,Dodecylguanidine hydrochloride
DTXSID6027923,Dodecylbenzenesulfonic acid
DTXSID4032665,Disodium methanearsonate
DTXSID3026350,Ethylenediaminetetraacetic acid tetrasodium salt
DTXSID1020560,Endosulfan
DTXSID1024091,EPTC
DTXSID4032667,Esfenvalerate
DTXSID9093725,Jasmine oil
DTXSID7024085,Ethephon
DTXSID9020584,Ethanol
DTXSID0020600,Ethylene oxide
DTXSID3095692,Fatty acids
DTXSID7032393,Fenoxycarb
DTXSID3020621,"(R,R)-Fenvalerate"
DTXSID0034855,Fluazifop-P-butyl
DTXSID0021385,Folpet
DTXSID7020637,Formaldehyde
DTXSID0020656,Gibberellic acid
DTXSID6025355,Glutaraldehyde
DTXSID0034649,Glyphosate isopropylamine
DTXSID7025394,Triazinetriethanol
DTXSID2020711,Hydrochloric acid
DTXSID2020715,Hydrogen peroxide
DTXSID9042049,Hydroprene
DTXSID8032623,Indole-3-butyric acid
DTXSID8024151,Imazalil
DTXSID7034672,Iodine
DTXSID7020762,Isopropanol
DTXSID6027684,Kerosine
DTXSID7034414,Calcium polysulfide
DTXSID2029612,Limonene
DTXSID2020686,Lindane
DTXSID1034688,Lithium hypochlorite
DTXSID4020791,Malathion
DTXSID0034695,Mancozeb
DTXSID9020794,Maneb
DTXSID0034699,MCPA dimethylamine salt
DTXSID9024194,Mecoprop
DTXSID7034705,Mecoprop-dimethylammonium
DTXSID7034707,Mecoprop-potassium
DTXSID1024170,"1,1-Dimethylpiperidinium chloride"
DTXSID6024175,Metalaxyl
DTXSID80109343,Metaldehyde
DTXSID4024305,Silver
DTXSID2029167,Metam-sodium
DTXSID3032626,Methiocarb
DTXSID1022267,Methomyl
DTXSID8032627,Methoprene
DTXSID9020827,Methoxychlor
DTXSID8020832,Methyl bromide
DTXSID2021943,2-Undecanone
DTXSID1020855,Methyl parathion
DTXSID8025599,Methylene bis(thiocyanate)
DTXSID3034743,Mineral oil - includes paraffin oil
DTXSID2025686,Monosodium methanearsonate
DTXSID0032653,cis-Tricos-9-ene
DTXSID30999059,"2-Octyl-3a,4,7,7a-tetrahydro-1H-4,7-methanoisoindole-1,3(2H)-dione"
DTXSID8020915,1-Naphthaleneacetic acid
DTXSID5020603,Nabam-sodium
DTXSID1024209,Naled
DTXSID1025805,Octhilinone
DTXSID9035549,Octyl decyl dimethyl ammonium chloride
DTXSID4040345,Citronella oil
DTXSID1025809,Oleic acid
DTXSID5020154,Clorophene
DTXSID6035732,Potassium 2-benzyl-4-chlorophenate
DTXSID7035644,Sodium 2-benzyl-4-chlorophenate
DTXSID2021151,2-Phenylphenol
DTXSID2035691,Potassium biphenyl-2-olate
DTXSID2021153,Sodium 2-phenylphenate
DTXSID8024238,Oryzalin
DTXSID3024239,Oxadiazon
DTXSID7024241,Oxyfluorfen
DTXSID1020431,"1,4-Dichlorobenzene"
DTXSID8021771,4-(2-Methylbutan-2-yl)phenol
DTXSID9035757,Potassium 4-(2-methylbutan-2-yl)phenolate
DTXSID2021105,Pentachloronitrobenzene
DTXSID7024245,Pendimethalin
DTXSID8022292,Permethrin
DTXSID1025853,Peracetic acid
DTXSID3027669,Petroleum
DTXSID4028252,Light aromatic solvent naphtha (petroleum)
DTXSID7032688,Phenothrin
DTXSID4032459,Phorate
DTXSID5024261,Phosmet
DTXSID5024263,Phosphoric acid
DTXSID2027670,Pine oils
DTXSID1021166,Piperonyl butoxide
DTXSID2034831,Polybutene
DTXSID1057583,"Fatty acids, potassium salts"
DTXSID7034834,Potassium dimethyldithiocarbamate
DTXSID1034424,Potassium N-methyldithiocarbamate
DTXSID1034840,Potassium peroxymonosulfate
DTXSID6022341,Prometon
DTXSID4024272,Prometryn
DTXSID8025961,Propionic acid
DTXSID7021948,Propoxur
DTXSID0021206,"1,2-Propylene glycol"
DTXSID8034873,Pyrethrins
DTXSID7022253,Resmethrin
DTXSID1035783,S-Methoprene
DTXSID1029677,Silica
DTXSID0049573,Dimethyl polysiloxane
DTXSID4021268,Simazine
DTXSID1034896,Soap
DTXSID9021269,Sodium bicarbonate
DTXSID3033983,Sodium hydrogen sulfate
DTXSID8034902,Sodium bisulfite
DTXSID3034903,Sodium bromide
DTXSID3034408,"Cacodylic acid, sodium salt"
DTXSID1029621,Carbonic acid sodium salt (1:2)
DTXSID7026025,Sodium chlorate
DTXSID8021272,Sodium chlorite
DTXSID3024994,Sodium dichloroisocyanurate
DTXSID0029761,Sodium dichloroisocyanurate dihydrate
DTXSID6027050,Sodium dimethyldithiocarbamate
DTXSID7025219,Sodium dodecylbenzenesulfonate
DTXSID0029634,Sodium hydroxide
DTXSID8021276,Sodium hypochlorite
DTXSID2034386,Sodium metaborate
DTXSID5049780,Sodium metaborate tetrahydrate
DTXSID7029669,Sodium metasilicate
DTXSID7035725,Sodium 4-(2-methylbutan-2-yl)phenolate
DTXSID6034920,Sodium pyrithione
DTXSID6049646,Sodium sesquicarbonate
DTXSID3026302,Sodium xylenesulfonate
DTXSID6023600,Strychnine
DTXSID2021288,Sucrose
DTXSID1032646,N-Ethylperfluorooctanesulfonamide
DTXSID9034941,Sulfur
DTXSID7037555,tau-Fluvalinate
DTXSID6032647,2-(Thiocyanomethylthio)benzothiazole
DTXSID4027608,Terbutylazine
DTXSID1032648,Z-Tetrachlorvinphos
DTXSID6032649,Tetramethrin
DTXSID3036446,Potassium pyrophosphate
DTXSID0021337,Thiabendazole
DTXSID1024338,Thiophanate-methyl
DTXSID5021332,Thiram
DTXSID3023897,Triadimefon
DTXSID3040350,Tributyltin neodecanoate
DTXSID9020166,Bis(tributyltin)oxide
DTXSID0021389,Trichlorfon
DTXSID5026201,Trichloromelamine
DTXSID2026523,Symclosene
DTXSID0034302,Triclopyr triethylamine salt
DTXSID9021392,Triethanolamine
DTXSID4021393,Triethylene glycol
DTXSID4021395,Trifluralin
DTXSID5032654,Triforine
DTXSID8027034,"2-(Hydroxymethyl)-2-nitro-1,3-propanediol"
DTXSID2035223,Trisodium phosphate
DTXSID4027816,"Urea, sulfate (1:1)"
DTXSID5057595,Vegetable oils
DTXSID5023742,Warfarin
DTXSID5028871,"Hydrocarbons, C7-9"
DTXSID4027735,Zinc naphthenate
DTXSID401015779,Zinc phosphide
DTXSID2040315,Zinc sulfate
DTXSID0021464,Ziram
DTXSID7034678,Dichlorprop-isooctyl
DTXSID3020047,Allyl isothiocyanate
